"","LIMIT_BAL","SEX","EDUCATION","MARRIAGE","AGE","PAY_0","PAY_2","PAY_3","PAY_4","PAY_5","PAY_6","BILL_AMT1","BILL_AMT2","BILL_AMT3","BILL_AMT4","BILL_AMT5","BILL_AMT6","PAY_AMT1","PAY_AMT2","PAY_AMT3","PAY_AMT4","PAY_AMT5","PAY_AMT6","default"
"1",70000,"1","3","2",34,0,0,0,0,0,0,53972,23149,23968,25559,26134,26715,1700,1500,2000,1000,1000,2000,"0"
"2",390000,"2","2","2",26,2,2,2,0,0,0,185111,172865,153795,140387,128112,115514,5000,3000,5000,4548,4100,3300,"0"
"3",60000,"1","1","2",27,0,0,0,0,0,2,21387,22416,23444,26038,28607,27997,1378,1406,3000,3000,0,923,"1"
"4",140000,"2","2","1",55,0,0,0,0,0,0,108038,110216,84516,72391,61298,62193,4200,2822,2336,2588,2250,2491,"0"
"5",50000,"1","1","2",29,2,2,2,0,0,-2,7881,10415,3997,1047,0,0,3000,0,1000,0,0,0,"1"
"6",20000,"1","2","2",37,0,0,0,0,0,0,20009,20602,21255,19105,19609,19283,1700,1600,1200,1000,900,1000,"0"
"7",50000,"1","3","2",44,0,0,0,2,0,0,51041.1217259652,50525,51463,49952,19584,19080,1762,4800,0,837,700,1000,"0"
"8",250000,"1","2","2",30,0,0,0,-1,2,-1,5724,6729,4973,9693,799,4295,2000,2305,4720,0,4305,0,"0"
"9",320000,"2","2","2",36,-2,-2,-2,-2,-2,-2,29862,33785,4900,15813,0,0,5000,4905,15873,0,0,21657,"1"
"10",3e+05,"1","1","1",35,0,0,0,0,0,0,91282,45885,35329,29368,18833,93329,3260,2240,1505,1250,80934,2700,"0"
"11",5e+05,"1","1","1",41,-1,-1,-1,-2,-1,-1,719,1550,-50,-50,10037,79,1558,0,0,10087,79,471,"0"
"12",90000,"2","2","2",32,-2,-2,-2,-2,-2,-2,573,0,0,0,0,0,157,0,0,0,0,0,"0"
"13",80000,"2","2","2",29,0,0,0,2,2,0,59520,60492,62160,64714,62420,62990,2753,3438,4400,0,2400,9974,"1"
"14",30000,"2","2","2",24,0,0,0,2,0,0,28218,28704,30428,28914,29357,29955,2000,3600,0,1200,1200,1300,"0"
"15",1e+05,"2","3","1",41,1,2,0,0,0,0,77208,75377,77044,78333,78130,77761,0,3475,3263,2805,2888,2680,"0"
"16",3e+05,"2","1","2",42,-1,-1,-1,0,0,-2,6349,668,9737,367,-23,-413,668,9800,0,0,0,0,"0"
"17",240000,"1","2","2",27,0,0,0,0,0,0,81861,81446,82907,84832,87123,85363,15000,4000,4000,4000,3000,3000,"0"
"18",330000,"1","2","1",47,-2,-2,-1,0,0,0,19540,23240,166722,215506,138371,21757,25487,166744,60057,560,17921,201134,"0"
"19",20000,"1","1","2",38,0,0,0,0,2,0,16787,17912,18706,20086,19632,20160,1700,1400,1684,0,1000,850,"0"
"20",20000,"1","3","1",52,1,2,0,0,0,-2,20838,20212,20148,19845,0,0,0,1200,397,0,0,0,"1"
"21",220000,"2","1","1",41,0,0,0,0,0,0,219198,114930,100749,74457,68604,53333,5068,5000,2000,3000,3000,1000,"0"
"22",30000,"2","2","1",29,2,2,2,0,0,2,15361,18274,17697,18416,20099,21631,3175,0,1317,2000,2000,0,"1"
"23",30000,"1","2","1",36,1,3,2,5,4,3,18811,18225,22630,21988,21057,25412,0,5000,0,0,5000,0,"0"
"24",80000,"2","2","2",27,-1,0,0,0,0,0,45198,45572,40910,40969,41275,41637,2000,2000,1600,1500,1550,1600,"1"
"25",2e+05,"2","1","1",42,-2,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,665,"1"
"26",170000,"2","3","2",26,2,2,2,0,0,0,63977,63630,51986,90196,50464,48282,2550,0,3500,3000,2001,3000,"0"
"27",80000,"2","3","1",48,0,0,0,0,0,0,44508,43709,52660,48532,44469,45068,1785,10000,1541,1610,1604,1485,"0"
"28",2e+05,"2","1","1",29,0,0,0,0,0,2,21326,30928,124497,126854,139660,145455,10000,95000,4552,15002,8000,0,"0"
"29",60000,"1","2","2",27,1,2,0,0,2,2,43356,42381,46663,49877,50734,49764,0,5000,4000,1800,0,2000,"1"
"30",160000,"2","2","1",42,0,0,0,0,0,0,35815,38023,40180,41318,42605,43857,3000,3000,2000,2000,2000,2000,"0"
"31",60000,"2","3","2",51,0,0,0,0,0,0,56793,57455,59295,19212,19232,19218,2342,3057,700,700,682,700,"0"
"32",50000,"2","2","2",40,-1,-1,-1,-2,-2,-2,15584,4377,0,0,0,0,4377,0,0,0,0,0,"0"
"33",160000,"2","2","2",54,1,-2,-2,-1,-1,-2,0,0,0,1690,0,0,0,0,1690,0,0,0,"0"
"34",1e+05,"1","3","2",32,2,2,0,0,0,0,103540,98205,12605,10437,7920,7350,254,1418,250,306,524,23910,"0"
"35",30000,"2","3","1",38,-2,-2,-2,-2,-2,-2,1535,835,8927,5371,0,1996,835,8939,5480,0,1996,0,"0"
"36",50000,"2","3","1",35,0,0,0,0,0,0,49930,48261,49027,49564,28609,28302,2300,3000,2503,4796.35716810584,1204,2000,"0"
"37",2e+05,"2","2","1",28,1,-1,-1,-1,-1,-1,0,2658,150,3570,2853,0,2658,150,3570,2853,0,0,"0"
"38",150000,"2","2","1",28,0,0,0,0,0,0,152105,137472,118583,95094,50999,35383,6300,4500,2524,2000,2000,5235.93435669562,"0"
"39",1e+05,"2","2","1",35,-1,-1,-1,0,0,-1,29048,0,4069,37069,20233,22227,0,4069,33000,20000,22227,20000,"0"
"40",40000,"1","2","3",35.4763469119579,0,0,0,0,2,0,20774,21778,22807,24993,24292,24800,1355,1384,2570,0,899,2006,"0"
"41",420000,"2","2","1",35,0,0,0,0,0,0,51041.1217259652,68979,57706,55628,54797,52759,3527,3000,4000,2500,2000,2100,"0"
"42",80000,"1","2","1",29,0,0,2,0,0,0,37822,40900,39944,40744,42084,42923,3700,0,1462,2000,1536,2001,"0"
"43",50000,"1","3","1",45,-1,-1,2,-1,-1,-1,261,1305,1134,1073,1312,51,2305,0,1200,1500,0,0,"0"
"44",2e+05,"1","2","2",30,0,0,0,0,0,2,83149,94976,106808,115702,122236,134013,13550,13590,12356,12500,14013,4900,"0"
"45",80000,"1","1","2",36,-2,-2,-2,-2,-2,-2,5012,1200,0,1159,0,0,1200,0,1159,0,0,6028,"0"
"46",360000,"1","3","1",58,-1,-1,-1,-1,0,-1,1351,554,1090,780,390,388,5495.85623358254,1096,780,0,388,887,"0"
"47",130000,"2","3","2",27,0,0,0,0,0,0,129150,105529,107691,108418,115638,117958,5300,5400,4000,9000,4400,4500,"0"
"48",50000,"1","1","2",23,-1,-1,-1,-1,-1,-1,980,3413,1068,1386,2800,3696,3500,11000,2000,2000,6396,3000,"0"
"49",220000,"2","2","2",30,0,0,0,0,0,0,32357,30971,31277,23258,4546,6470,2000,1377,8011,165,2000,1000,"0"
"50",80000,"2","2","1",48,0,0,0,0,0,0,49526,48304,27864,27033,27617,26761,1740,1800,1500,1000,965,1500,"0"
"51",6e+05,"1","1","1",36,0,0,0,0,0,0,372396,416438,459749,455910,463611,466570,50000,50000,15000,20000,15000,7000,"0"
"52",250000,"1","1","1",40,0,0,0,0,0,0,7351,6225,3645,3090,3700,1190,3039,2000,1000,1000,0,90403,"0"
"53",50000,"1","2","2",24,1,3,3,2,2,0,53890,54084,52026,51899,50836,47828,2200,0,1800,105,2300,1600,"0"
"54",120000,"1","1","2",27,0,0,0,0,0,0,52437,50473,45087,35424,31760,31214,5024,5000,5000,4000,5000,3500,"0"
"55",20000,"2","2","1",47,0,-1,-1,-1,-1,0,1343,1547,1539,1066,18187,18212,1547,1539,1066,18660,771,1000,"0"
"56",120000,"2","2","1",54,0,0,0,0,0,0,89197,87088,85280,83873,78945,80597,3072,3074,2887,2774,2871,3000,"0"
"57",3e+05,"1","1","1",50,2,2,2,2,2,2,245193,250672,256178,260434,264114,269733,11000,11000,10000,9500,10000,1300,"1"
"58",140000,"1","2","2",24,0,0,0,0,0,0,103884,105697,101636,97298,40210.403400777,72592,4000,4000,3800,3000,3300,2300,"0"
"59",30000,"2","3","2",24,0,0,0,0,0,0,27276,26937,26679,43048.5446433073,28691,29726,2000,2500,2000,2000,2000,2000,"1"
"60",150000,"2","3","2",28,-2,-1,-1,-1,-1,-1,1723,2292,240,683,3486,5390,6876,240,683,3486,5390,1200,"0"
"61",3e+05,"1","1","1",39,-1,-1,-1,-1,-1,-1,20938,21064,26041,18158,18147,45199,21169,26171,18249,18238,45301,120,"0"
"62",140000,"2","1","2",25,0,0,0,0,0,0,52196,16982,20199,20746,2260,4180,2000,5000,1000,1260,3000,439,"0"
"63",4e+05,"1","3","1",43,-1,0,0,0,0,-1,145801,134269,100229,57583,8556,316,6100,26621,6600,406,316,316,"0"
"64",1e+05,"2","2","2",30,0,0,0,0,0,0,92683,84278,86977,89575,91382,93320,3324,3428,3399,2546,2671,2939,"0"
"65",20000,"2","2","1",24,2,2,0,0,0,0,19891,15895,17140,18457,21381,18914,0,1500,1600,1646,678,1000,"1"
"66",70000,"1","3","1",50,0,0,0,0,0,0,68725,70413,70004,38102,28931,29143,3220,2220,28931,1000,1050,1052,"0"
"67",360000,"1","2","1",30,-1,-1,-1,0,0,0,6323,6934,17170,11152,6000,0,7001,17173,1000,1000,0,2e+05,"0"
"68",30000,"1","2","2",22,1,-1,0,0,0,0,4873,14891,14860,14260,8864,2578,16547,3000,1000,1000,1990,3597,"0"
"69",30000,"1","2","1",33,2,2,0,0,0,0,42646,30060,28391,26156,25377,27422,2159,1500,1000,1000,3800,0,"1"
"70",150000,"1","2","1",27,0,0,0,0,0,0,118533,119911,123914,126447,128773,134930,3375,5000,3583,3402,7226,5000,"0"
"71",450000,"1","2","2",29,0,0,0,0,0,0,51686,54224,49606,43803,62914,81529,5495.85623358254,10075,10000,20000,20000,5200,"0"
"72",220000,"1","1","2",29,0,0,0,0,0,0,216096,189566,183838,157898,164860,168294,10110,12000,5852,10000,6610,5836,"0"
"73",50000,"2","1","2",31,2,2,3,2,0,0,48903,53997,52298,50778,48055,45704,6500,0,0,3130,2532,1700,"1"
"74",150000,"1","1","1",50,0,0,0,0,0,0,101639,91674,135883,95806,97648,99737,3820,50001,3569,3529,3697,5229,"0"
"75",120000,"2","1","2",27,-1,-1,-1,-1,-1,-1,1026,1026,1026,1026,1026,1026,1026,1026,1026,1026,1026,1026,"0"
"76",90000,"2","3","1",46,-2,-2,-2,-2,-2,-2,1609,686,3904,686,686,686,1372,3904,686,686,686,686,"0"
"77",20000,"1","2","2",40,1,2,2,2,3,2,15476,16533,15975,17903,17336,16910,1600,0,2500,0,0,2000,"0"
"78",180000,"1","2","2",33,0,0,0,0,0,0,103956,103230,105945,111065,122028,125069,4100,4400,10000,12900,5000,5000,"0"
"79",20000,"1","2","2",55,2,2,2,2,-2,-2,11736,11180,780,0,0,0,780,0,0,0,0,0,"0"
"80",30000,"2","2","1",39,-1,3,2,0,-1,3,1742,1560,780,780,2057,1737,0,0,0,2057,0,0,"0"
